EKO 4h of Bulgaria – Final,,,,,,,,,,
,,,,,,,,,,
22/10/2022 - 14:55,,,,,,,,,,
,,,,,,,,,,
17 - SÉLESTAT KART INDOOR,,,,,,,,,,
,,,,,,,,,,
Laps,1,2,3,4,5,6,7,8,9,10
220,54.827,54.763,55.129,55.081,54.841,174.59,174.615,54.904,55.237,55.235
230,55.025,55.223,55.142,55.263,55.012,55.092,55.391,54.913,56.187,55.024
240,55.178,,,,,,,,,
,,,,,,,,,,
3 - PRO RACING,,,,,,,,,,
,,,,,,,,,,
Laps,1,2,3,4,5,6,7,8,9,10
,-,55.421,55.376,55.325,54.96,54.763,54.784,55.379,55.033,55.027
10,54.973,54.845,54.844,54.762,55.65,55.737,54.798,56.085,55.22,55.09
20,55.374,54.704,55.307,54.64,54.653,54.489,54.872,54.682,54.621,55.263
30,54.719,55.374,55.417,54.745,54.903,55.217,55.278,55.283,56.519,54.712
40,54.468,54.571,54.291,175.282,55.845,56.832,55.483,55.481,55.154,55.094
50,55.557,55.452,55.72,55.283,55.361,55.787,56.548,55.577,55.484,55.386
60,55.47,55.661,55.666,55.504,55.146,55.201,55.225,55.398,55.238,55.065
70,54.99,55.182,55.76,55.878,55.41,55.358,55.764,55.309,55.486,55.348
80,56.425,58.353,55.876,56.15,55.24,55.538,178.98,55.321,55.29,55.283
90,54.751,55.278,54.552,55.204,56.211,57.168,55.024,54.803,54.721,54.774
100,55.488,54.81,54.677,55.045,55.392,55.973,55.235,54.815,54.534,55.086
110,54.977,55.095,54.99,54.65,55.351,55.219,54.935,175.075,56.191,55.201
120,56.279,55.865,55.896,55.477,55.051,98.683,94.094,89.374,78.093,100.454
130,59.336,55.373,56.163,55.584,55.649,55.967,56.343,55.833,55.66,55.094
140,55.449,55.29,55.037,55.596,56.376,57.197,55.595,55.733,55.254,55.166
150,56.293,55.511,55.101,55.778,55.296,55.435,175.503,55.205,55.992,55.275
160,55.827,55.406,55.08,56.042,55.922,55.684,55.29,54.946,54.862,54.833
170,55.993,55.305,54.791,55.712,55.216,54.854,55.007,54.797,55.51,56.454
180,54.673,54.633,54.537,55.839,55.525,54.706,54.547,54.761,55.069,55.125
190,54.845,54.978,55.242,55.616,55.394,55.02,54.892,54.908,174.66,55.374
200,55.128,54.843,56.341,54.971,55.287,55.65,55.692,55.534,54.807,54.967
210,55.475,55.176,55.243,174.495,175.024,54.712,54.838,56.138,55.031,54.728
220,55.012,54.839,55.546,55.077,56.165,55.03,54.957,54.92,55.059,54.739
230,174.687,54.964,54.7,55.234,54.794,55.994,55.038,54.978,55.336,55.928
240,54.677,,,,,,,,,
,,,,,,,,,,
31 - ATLAS,,,,,,,,,,
,,,,,,,,,,
Laps,1,2,3,4,5,6,7,8,9,10
,-,55.406,55.32,55.452,55.199,55.062,54.65,55.273,56.203,54.86
10,54.657,54.707,55.081,54.635,54.842,55.97,55.022,56.439,56.785,55.015
20,55.468,55.133,54.626,54.746,54.561,54.791,54.82,55.482,54.761,54.649
30,54.85,54.958,54.713,56.047,55.301,54.811,55.37,54.983,55.441,55.286
40,54.926,175.744,56.278,54.977,55.207,55.256,55.302,55.218,55.294,55.99
50,55.662,55.568,55.083,55.412,55.445,55.478,55.413,55.561,56.315,56.434
60,55.177,55.169,55.336,56.202,55.226,55.066,54.985,55.214,55.095,55.385
70,55.024,54.737,54.994,55.15,56.12,55.28,55.051,55.013,55.602,54.945
80,55.76,56.319,55.594,176.557,55.931,55.324,55.743,55.785,55.544,55.442
90,55.279,55.228,55.039,54.99,55.152,54.968,54.862,55.486,55.108,55.092
100,54.786,54.88,55.136,57.748,55.432,54.776,55.119,55.46,54.981,176.239
110,56.68,55.936,56.162,55.13,55.582,55.25,177.162,55.241,54.515,54.429
120,55.045,55.199,55.378,98.896,98.365,83.755,80.429,94.131,59.894,55.91
130,58.729,56.063,57.343,55.953,55.515,55.481,55.85,55.761,55.872,55.966
140,55.334,56.068,175.443,55.697,55.724,56.274,55.58,55.928,55.586,55.435
150,55.345,55.017,55.136,54.984,56.033,55.263,55.197,55.211,55.214,54.905
160,55.398,55.047,55.363,55.714,54.817,55.636,54.867,55.016,54.783,55.178
170,55.048,55.01,55.691,55.735,55.276,55.719,54.757,55.29,54.723,54.97
180,54.807,55.103,55.118,55.044,175.706,55.712,55.311,55.442,55.329,55.059
190,55.38,55.251,54.94,55.326,54.897,55.247,54.906,54.774,55.178,55.05
200,54.935,55.081,54.994,55.078,55.277,55.092,55.265,175.312,55.096,54.788
210,54.954,54.969,55.322,55.059,55.222,55.047,55.524,55.423,55.082,55.716
220,55.751,55.382,56.142,55.493,55.62,175.666,55.049,55.146,54.955,55.132
230,55.044,54.931,55.504,55.215,54.941,55.075,54.864,55.029,55.193,55.758
240,56.017,,,,,,,,,
,,,,,,,,,,
13 - PLOVDIV RACING,,,,,,,,,,
,,,,,,,,,,
Laps,1,2,3,4,5,6,7,8,9,10
,-,55.601,55.368,54.876,55.801,54.859,55.045,55.007,54.798,54.781
10,54.806,54.814,54.558,54.878,54.825,55.475,54.883,55.732,57.001,54.923
20,55.117,55.308,54.657,54.893,54.448,54.766,54.627,54.825,54.878,54.987
30,54.999,55.168,54.861,55.153,54.791,54.612,55.083,54.861,56.513,54.929
